"Ensembl_ID" "Gene_symbol" "Biotype" "Comparison" "logFC" "FDR"
"ENSG00000185668" "POU3F1" "Protein_Coding" "Normal vs Doxo-treated" 8.047538884 7.88e-22
"ENSG00000163347" "CLDN1" "Protein_Coding" "Normal vs Doxo-treated" 8.248057465 2.03e-21
"ENSG00000135423" "GLS2" "Protein_Coding" "Normal vs Doxo-treated" 8.941299589 6.83e-21
"ENSG00000065320" "NTN1" "Protein_Coding" "Normal vs Doxo-treated" 7.908668138 6.73e-18
"ENSG00000138271" "GPR87" "Protein_Coding" "Normal vs Doxo-treated" 9.429266066 8.85e-15
"ENSG00000115884" "SDC1" "Protein_Coding" "Normal vs Doxo-treated" 5.03705364 1.08e-14
"ENSG00000173535" "TNFRSF10C" "Protein_Coding" "Normal vs Doxo-treated" 5.932836858 1.76e-14
"ENSG00000154040" "CABYR" "Protein_Coding" "Normal vs Doxo-treated" 5.357160721 1.18e-13
"ENSG00000187017" "ESPN" "Protein_Coding" "Normal vs Doxo-treated" 7.709180837 2.37e-13
"ENSG00000055163" "CYFIP2" "Protein_Coding" "Normal vs Doxo-treated" 4.368200332 5.06e-13
"ENSG00000182253" "SYNM" "Protein_Coding" "Normal vs Doxo-treated" 4.570809007 1.09e-12
"ENSG00000130513" "GDF15" "Protein_Coding" "Normal vs Doxo-treated" 6.469337796 4.54e-12
"ENSG00000166592" "RRAD" "Protein_Coding" "Normal vs Doxo-treated" 4.569324954 4.97e-12
"ENSG00000110900" "TSPAN11" "Protein_Coding" "Normal vs Doxo-treated" 6.981484282 7.43e-12
"ENSG00000172508" "CARNS1" "Protein_Coding" "Normal vs Doxo-treated" 6.927914291 7.43e-12
"ENSG00000168672" "LRATD2" "Protein_Coding" "Normal vs Doxo-treated" 4.76487365 2.06e-11
"ENSG00000114270" "COL7A1" "Protein_Coding" "Normal vs Doxo-treated" 4.709272529 2.2e-11
"ENSG00000162981" "LRATD1" "Protein_Coding" "Normal vs Doxo-treated" 8.819885586 3.26e-11
"ENSG00000095397" "WHRN" "Protein_Coding" "Normal vs Doxo-treated" 4.695125619 1.22e-10
"ENSG00000161513" "FDXR" "Protein_Coding" "Normal vs Doxo-treated" 4.01397037 1.22e-10
"ENSG00000088836" "SLC4A11" "Protein_Coding" "Normal vs Doxo-treated" 4.702577571 1.25e-10
"ENSG00000253736" "ENSG00000253736" "lncRNA" "Normal vs Doxo-treated" 8.505853973 1.76e-10
"ENSG00000104689" "TNFRSF10A" "Protein_Coding" "Normal vs Doxo-treated" 4.076857734 2.05e-10
"ENSG00000121552" "CSTA" "Protein_Coding" "Normal vs Doxo-treated" 7.01633203 2.73e-10
"ENSG00000069812" "HES2" "Protein_Coding" "Normal vs Doxo-treated" 4.549842601 9.4e-10
"ENSG00000151640" "DPYSL4" "Protein_Coding" "Normal vs Doxo-treated" 3.8152582 1.46e-09
"ENSG00000168621" "GDNF" "Protein_Coding" "Normal vs Doxo-treated" 6.162605711 5.07e-09
"ENSG00000172828" "CES3" "Protein_Coding" "Normal vs Doxo-treated" 6.858019901 5.07e-09
"ENSG00000245848" "CEBPA" "Protein_Coding" "Normal vs Doxo-treated" 6.490566496 9.53e-09
"ENSG00000289047" "ENSG00000289047" "lncRNA" "Normal vs Doxo-treated" 3.732125256 1.6e-08
"ENSG00000089486" "CDIP1" "Protein_Coding" "Normal vs Doxo-treated" 3.771456884 2.02e-08
"ENSG00000242732" "RTL5" "Protein_Coding" "Normal vs Doxo-treated" 4.188083978 2.02e-08
"ENSG00000224294" "PINCR" "lncRNA" "Normal vs Doxo-treated" 12.44428724 2.57e-08
"ENSG00000095713" "CRTAC1" "Protein_Coding" "Normal vs Doxo-treated" 8.04869464 3.28e-08
"ENSG00000162772" "ATF3" "Protein_Coding" "Normal vs Doxo-treated" 4.102541502 4.28e-08
"ENSG00000177106" "EPS8L2" "Protein_Coding" "Normal vs Doxo-treated" 3.385594508 4.28e-08
"ENSG00000128342" "LIF" "Protein_Coding" "Normal vs Doxo-treated" 5.638263051 4.9e-08
"ENSG00000158406" "H4C8" "Protein_Coding" "Normal vs Doxo-treated" 3.447384335 5.32e-08
"ENSG00000125657" "TNFSF9" "Protein_Coding" "Normal vs Doxo-treated" 5.125394172 6.26e-08
"ENSG00000161509" "GRIN2C" "Protein_Coding" "Normal vs Doxo-treated" 7.178753809 6.62e-08
"ENSG00000165799" "RNASE7" "Protein_Coding" "Normal vs Doxo-treated" 11.14761169 6.62e-08
"ENSG00000278828" "H3C10" "Protein_Coding" "Normal vs Doxo-treated" 4.408124549 6.73e-08
"ENSG00000158055" "GRHL3" "Protein_Coding" "Normal vs Doxo-treated" 9.198099954 8.16e-08
"ENSG00000161642" "ZNF385A" "Protein_Coding" "Normal vs Doxo-treated" 3.715297738 8.99e-08
"ENSG00000078237" "TIGAR" "Protein_Coding" "Normal vs Doxo-treated" 3.208859425 1.24e-07
"ENSG00000177595" "PIDD1" "Protein_Coding" "Normal vs Doxo-treated" 3.239903371 1.24e-07
"ENSG00000144485" "HES6" "Protein_Coding" "Normal vs Doxo-treated" 4.744322671 1.58e-07
"ENSG00000198589" "LRBA" "Protein_Coding" "Normal vs Doxo-treated" -3.231817143 1.87e-07
"ENSG00000291006" "ENSG00000291006" "lncRNA" "Normal vs Doxo-treated" 3.849577043 1.91e-07
"ENSG00000277224" "H2BC7" "Protein_Coding" "Normal vs Doxo-treated" 6.873556844 2.06e-07
"ENSG00000185860" "CCDC190" "Protein_Coding" "Normal vs Doxo-treated" 4.238951113 2.64e-07
"ENSG00000132819" "RBM38" "Protein_Coding" "Normal vs Doxo-treated" 3.297973554 3.08e-07
