"Ensembl_ID" "Gene_symbol" "Biotype" "ctrl_1" "ctrl_2" "Doxo1" "Doxo2"
"ENSG00000000003" "TSPAN6" "Protein_Coding" 57.36560462 45.75892706 70.95998031 49.53165248
"ENSG00000000005" "TNMD" "Protein_Coding" 0 0 0.048304956 0
"ENSG00000000419" "DPM1" "Protein_Coding" 41.86066837 57.0609887 47.3871618 60.80884499
"ENSG00000000457" "SCYL3" "Protein_Coding" 12.39331096 11.51184469 12.05208651 9.633084354
"ENSG00000000460" "C1orf112" "Protein_Coding" 4.042453362 5.742810903 3.381346917 1.852516222
"ENSG00000000938" "FGR" "Protein_Coding" 0 0.026222881 0.507202038 0.208408075
"ENSG00000000971" "CFH" "Protein_Coding" 98.02949403 14.97326496 70.16294853 11.13825378
"ENSG00000001036" "FUCA2" "Protein_Coding" 146.4591491 181.6721184 142.6686874 152.8557448
"ENSG00000001084" "GCLC" "Protein_Coding" 31.78113005 38.57385771 32.07449076 93.76047728
"ENSG00000001167" "NFYA" "Protein_Coding" 21.94094752 46.70295077 24.58722258 40.10697621
"ENSG00000001460" "STPG1" "Protein_Coding" 6.86153268 14.73725903 20.11901416 31.60855804
"ENSG00000001461" "NIPAL3" "Protein_Coding" 159.7035029 184.7926412 219.8117021 266.5539279
"ENSG00000001497" "LAS1L" "Protein_Coding" 37.49907395 42.61218136 33.08889483 33.43791781
"ENSG00000001561" "ENPP4" "Protein_Coding" 65.39732116 13.71456668 17.14825937 2.593522711
"ENSG00000001617" "SEMA3F" "Protein_Coding" 166.3256798 193.3150775 288.1390623 188.2156482
"ENSG00000001626" "CFTR" "Protein_Coding" 0 0 0.60381195 0.555754867
"ENSG00000001629" "ANKIB1" "Protein_Coding" 132.9754395 129.4361398 101.0298154 101.517889
"ENSG00000001630" "CYP51A1" "Protein_Coding" 6.249845658 5.297021929 4.395750992 4.723916366
"ENSG00000001631" "KRIT1" "Protein_Coding" 8.909354449 6.188599877 6.013967017 5.163888969
"ENSG00000002016" "RAD52" "Protein_Coding" 10.87739095 6.503274447 14.00843723 5.534392213
"ENSG00000002079" "MYH16" NA 0.053190176 0.550680498 8.719044551 12.34238933
"ENSG00000002330" "BAD" "Protein_Coding" 42.02023889 38.28540602 27.21984268 17.01999279
"ENSG00000002549" "LAP3" "Protein_Coding" 65.34413099 87.71553639 68.59303746 127.962558
