Ensembl_ID	Gene_symbol	logFC	FDR	Comparison	LncBook ID	Type	Conservation	miRNA	GWAS	nearest PC	Top correlated gene
ENSG00000282943	ENSG00000282943	2.715568281	0.004585231	Normal vs Doxo_PDL1-pos	HSALNG0145755	overlap_antisense	Not conserved	hsa-miR-4447	C-x-c motif chemokine 10 measurement	CD177	THSD7A
ENSG00000272341	ENSG00000272341	1.478661344	0.00068369	Normal vs Doxo_PDL1-pos	HSALNG0048332	anti_sense	Q75	hsa-miR-6799-5p	-	STMND1	PRKAR2B
ENSG00000288743	ENSG00000288743	2.507434972	0.000440885	Normal vs Doxo_PDL1-pos	HSALNG0097024	overlap_antisense,anti_sense	Q50	hsa-miR-4480,hsa-miR-6747-5p,hsa-miR-7155-5p	Uterine fibroid,-	CAB39L	RHBDD2
ENSG00000290792	ENSG00000290792	1.844903326	2.28e-11	Normal vs Doxo_PDL1-pos	HSALNG0006976	integenic	Not conserved	NA	NA	H2AC18	TMEM132A
ENSG00000230487	PSMG3-AS1	2.084493645	1.39e-15	Normal vs Doxo_PDL1-pos	HSALNG0055664	anti_sense	Not conserved	hsa-miR-30b-3p,hsa-miR-762,hsa-miR-1268b,hsa-miR-5589-5p,hsa-miR-6089	-	MAFK	AGK
ENSG00000259820	MIR30DHG	-1.354702556	0.023753456	Normal vs Doxo_PDL1-pos	HSALNG0068816	integenic	Q50	NA	Atrial fibrillation,Body height,Appendicular lean mass,-	ZFAT	STARD3NL
ENSG00000286638	ENSG00000286638	2.337361429	0.014788076	Normal vs Doxo_PDL1-pos	HSALNG0043442	integenic	Q50	NA	Colorectal cancer	ADGRV1	IFFO1
ENSG00000228288	PCAT6	2.469088607	3.38e-09	Normal vs Doxo_PDL1-pos	HSALNG0009743	integenic	Q90	hsa-miR-23a-5p,hsa-miR-4508,hsa-miR-6089	-	TMEM183A	LDAF1
ENSG00000291089	ENSG00000291089	2.365372604	7.54e-08	Normal vs Doxo_PDL1-pos	HSALNG0125869	anti_sense	Q50	hsa-miR-619-5p	Longevity,-	SIPA1L3	RWDD2A
ENSG00000258938	ENSG00000258938	1.797086104	0.011311063	Normal vs Doxo_PDL1-pos	HSALNG0100619	anti_sense	Q90	NA	-	RALGAPA1	CCDC88C
ENSG00000280206	ENSG00000280206	-1.570186014	5.29e-06	Normal vs Doxo_PDL1-pos	HSALNG0109823	sense	Not conserved	NA	NA	NDE1	AGPS
ENSG00000237491	LINC01409	1.961573162	0.000313704	Normal vs Doxo_PDL1-pos	HSALNG0000038	integenic	Not conserved	hsa-miR-4267,hsa-miR-5011-3p,hsa-miR-6089	-	SAMD11	SLC7A9
